== 0 ==
"ant00"	Cyrano
"rbt13"	Kristine
"rbt14"	Grignote
"rbt15"	Civet
"rbt16"	Zoé
"rbt17"	Sylvette
"rbt18"	Épicure
"rbt19"	Grisette
"rbt20"	Toby
"rhn00"	Ben
"rhn01"	Renée
"rhn02"	Rhino
"rhn03"	
"rhn04"	Cornio
"rhn05"	
"rhn06"	
"rhn07"	Patty
"rhn08"	Rina
"shp00"	Hélaine
"shp01"	Bêêtty
"shp02"	Bérénice
"shp03"	Bigoudi
"shp04"	Cashmir
"shp05"	
"shp06"	
"shp07"	Maï
"shp08"	Tonton
"shp09"	Karen
"shp10"	Sélène
"shp11"	Clarabêl
"shp12"	Charlène
"shp13"	Pietro
"shp14"	Étoile
"squ00"	Rachida
"squ01"	Cachou
"squ02"	Filibert
"squ03"	Pécan
"squ04"	Lola
"squ05"	Ninjette
"squ06"	Isabelle
"squ07"	Damia
"squ08"	Électro
"squ09"	Amande
"squ10"	Rocky
"squ11"	Célia
"squ12"	
"squ13"	Nadeige
"squ14"	Mounia
"squ15"	Irène
"squ16"	Roy
"squ17"	Mathéo
"squ18"	Pamela
"squ19"	Kala
"squ20"	Mara
"tig00"	Ralf
"tig01"	Marito
"tig02"	Jeff
"tig03"	Bengale
"tig04"	Dolph
"tig05"	Vanina
"tig06"	Noémie
"wol00"	Chef
"wol01"	Lobo
"wol02"	Wolfgang
"wol03"	Blanche
"wol04"	Loupiot
"wol05"	Luppa
"wol06"	Pierrot
"wol07"	
"wol08"	Viviane
"wol09"	Marilou
"wol10"	Gary
"wol11"	Link l.
== 3 ==
"ant00"	Cirano
"ant01"	Antonio
"ant02"	Carlotta
"ant03"	Annalisa
"ant04"	
"ant05"	
"ant06"	Lucrezia
"ant07"	
"ant08"	Anita
"ant09"	Ettore
"bea00"	Teddy
"bea01"	Pinky
"bea02"	Curt
"bea03"	Chowchow
"bea04"	
"bea05"	Gianni
"bea06"	Groucho
"bea07"	Lola
"bea08"	Ursula
"bea09"	Grizzly
"bea10"	Bruna
"bea11"	Ortensio
"bea12"	Orsola
"bea13"	Barnaba
"bea14"	Maciste
"brd00"	Jet
"brd01"	Rossana
"brd02"	Acciuga
"brd03"	Titti
"brd04"	Brivido
"brd05"	Giuliva
"brd06"	Adolfo
"brd07"	
"brd08"	Minù
"brd09"	
"brd10"	
"brd11"	Valerio
"brd12"	
"brd13"	
"brd14"	
"brd15"	Loreto
"brd16"	Zampiero
"brd17"	Gheppio
"brd18"	Piumardo
"brd19"	Famirè
"bul00"	Angus
"bul01"	Rodeo
"bul02"	
"bul03"	Carlos
"bul04"	
"bul05"	Victor
"bul06"	
"bul07"	Ercole
"bul08"	Paco
"cat00"	Bob
"cat01"	Zampetta
"cat02"	Grinfia
"cat03"	Micina
"cat04"	Kiki
"cat05"	Arancina
"cat06"	Felix
"cat07"	Felidia
"cat08"	Moe
"cat09"	Kabuki
"cat10"	Zampa
"cat11"	Marylin
"cat12"	Lisca
"cat13"	Puzzolo
"cat14"	Ester
"cat15"	Isidoro
"cat16"	Katy
"cat17"	Milly
"cat18"	Maty
"cat19"	Cleo
"cat20"	Gomitolo
"cat21"	Ofelia
"cat22"	Felyne
"cbr00"	Azzurra
"cbr01"	Dulcinea
"cbr02"	Poncho
"cbr03"	Tombolo
"cbr04"	Salomone
"cbr05"	Toppetta
"cbr06"	Vladimir
"cbr07"	Marcello
"cbr08"	
"cbr09"	Olivia
"cbr10"	Bonbon
"cbr11"	
"cbr12"	
"cbr13"	June
"cbr14"	Mina
"cbr15"	Clemente
"cbr16"	Placido
"cbr17"	Tamara
"cbr18"	Marty
"chn00"	Chiricò
"chn01"	Biagio
"chn02"	Chicco
"chn03"	
"chn04"	
"chn05"	Ava
"chn06"	
"chn07"	
"chn08"	
"chn09"	Annetta
"chn10"	Cocca
"chn11"	Kalin
"chn12"	Concetta
"chn13"	Aligalli
"cow00"	Patty
"cow01"	Tipper
"cow02"	
"cow03"	
"cow04"	
"cow05"	
"cow06"	Norma
"cow07"	Melina
"crd00"	Alfonso
"crd01"	Alli
"crd02"	Crocco
"crd03"	
"crd04"	Krokki
"crd05"	
"crd06"	Driberto
"crd07"	Codrilla
"crd08"	Dragonio
"der00"	Cervina
"der01"	Cornelio
"der02"	Antilio
"der03"	Arturo
"der04"	Daria
"der05"	Lopez
"der06"	Fuxia
"der07"	Gigi
"der08"	Diana
"der09"	Cervasio
"der10"	Chelsea
"dog00"	Dora
"dog01"	Attila
"dog02"	Felice
"dog03"	Buffetto
"dog04"	Tobia
"dog05"	Porzia
"dog06"	Walter
"dog07"	Fiorella
"dog08"	Briciola
"dog09"	Cristina
"dog10"	Cucciola
"dog11"	
"dog12"	
"dog13"	
"dog14"	Teo
"dog15"	Giosuè
"dog16"	Bernardo
"dog17"	Amarena
"dog18"	Frangino
"duk00"	Gino
"duk01"	Pino
"duk02"	Camilla
"duk03"	Palmita
"duk04"	Dina
"duk05"	Erica
"duk06"	Sofia
"duk07"	Semola
"duk08"	Mike
"duk09"	Drago
"duk10"	Guizzo
"duk11"	Pasquale
"duk12"	Miranda
"duk13"	Ketchup
"duk14"	
"duk15"	Pappy
"duk16"	Molly
"duk17"	Verdonio
"elp00"	Opal
"elp01"	Annibale
"elp02"	Grande C
"elp03"	Eloisa
"elp04"	Marianna
"elp05"	Paolino
"elp06"	Sandro
"elp07"	Elly
"elp08"	
"elp09"	Sventolo
"elp10"	Fanny
"elp11"	Chai
"flg00"	Gigliola
"flg01"	Ranabot
"flg02"	Froberto
"flg03"	Crambo
"flg04"	Prospero
"flg05"	Porro
"flg06"	Grazia
"flg07"	Geremia
"flg08"	
"flg09"	Achille
"flg10"	Jacques
"flg11"	Berto
"flg12"	Principe
"flg13"	Giada
"flg14"	
"flg15"	Massimo
"flg16"	Raganà
"flg17"	Gracido
"flg18"	Viola
"flg19"	Renato
"goa00"	Diletta
"goa01"	Nan
"goa02"	Billy
"goa03"	
"goa04"	Capriolé
"goa05"	
"goa06"	Belarda
"goa07"	Vittorio
"goa08"	Pashmina
"gor00"	Cesare
"gor01"	Kong
"gor02"	Babu
"gor03"	
"gor04"	Lou
"gor05"	Brando
"gor06"	
"gor07"	Konga
"gor08"	Gregorio
"gor09"	Kinga
"gor10"	Grigilio
"gor11"	Rilla
"ham00"	Amleto
"ham01"	Cicci
"ham02"	Evaristo
"ham03"	Rosikkio
"ham04"	Cettina
"ham05"	Carmelo
"ham06"	Meringa
"ham07"	Nerone
"ham08"	Collotto
"hip00"	Rocco
"hip01"	
"hip02"	Ippolita
"hip03"	Umberta
"hip04"	Pippo
"hip05"	Rosetta
"hip06"	
"hip07"	
"hip08"	Ercolino
"hip09"	Poppy
"hrs00"	Trottolo
"hrs01"	Vittoria
"hrs02"	Savannah
"hrs03"	Oreste
"hrs04"	Roscoe
"hrs05"	Clara
"hrs06"	Codino
"hrs07"	Susanna
"hrs08"	Ronzina
"hrs09"	Lisa
"hrs10"	Lallo
"hrs11"	Furio
"hrs12"	Pierino
"hrs13"	Giuliano
"hrs14"	Filippa
"hrs15"	Epona
"kal00"	Yuka
"kal01"	Alice
"kal02"	Melba
"kal03"	Sidney
"kal04"	Gonzo
"kal05"	Ozzy
"kal06"	
"kal07"	
"kal08"	Canberra
"kal09"	Nicola
"kal10"	Corrado
"kgr00"	Kitt
"kgr01"	Matilda
"kgr02"	Taschina
"kgr03"	
"kgr04"	
"kgr05"	Stella
"kgr06"	Silvia
"kgr07"	
"kgr08"	Zompo
"kgr09"	Balzak
"kgr10"	Adelaide
"lon00"	Leo
"lon01"	Elvis
"lon02"	Rex
"lon03"	
"lon04"	Leandro
"lon05"	
"lon06"	Leopold
"lon07"	Ruggero
"lon08"	Leonida
"mnk00"	
"mnk01"	Nanà
"mnk02"	Simon
"mnk03"	Tammi
"mnk04"	Mimmo
"mnk05"	Elisa
"mnk06"	Benny
"mnk07"	Ninì
"mnk08"	Bobo
"mus00"	Serena
"mus01"	Rosico
"mus02"	Bella
"mus03"	Ginella
"mus04"	Sansone
"mus05"	Riccardo
"mus06"	
"mus07"	
"mus08"	Mella
"mus09"	Rizzo
"mus10"	Squitta
"mus11"	
"mus12"	Franco
"mus13"	
"mus14"	Aldo
"mus15"	Rattina
"mus16"	Greta
"mus17"	Penelope
"mus18"	Gruviero
"oct00"	Ottavio
"oct01"	Marina
"oct02"	Poldo
"oct03"	Polpotto
"ost00"	Regina
"ost01"	Marta
"ost02"	Alessia
"ost03"	Frankie
"ost04"	
"ost05"	Giulia
"ost06"	Carmine
"ost07"	Enzo
"ost08"	Emilia
"ost09"	Rosalba
"ost10"	Fenicia
"pbr00"	Apollo
"pbr01"	Amelia
"pbr02"	Attilio
"pbr03"	Golia
"pbr04"	
"pbr05"	Falco
"pbr06"	Frank
"pbr07"	Beccodì
"pbr08"	Aquilio
"pbr09"	Celia
"pgn00"	Aurora
"pgn01"	Angelino
"pgn02"	Cubetto
"pgn03"	Pinguaio
"pgn04"	Frida
"pgn05"	Gelinda
"pgn06"	Glacido
"pgn07"	
"pgn08"	
"pgn09"	Plinio
"pgn10"	Icaro
"pgn11"	Piccio
"pgn12"	Freddy
"pgn13"	Nives
"pgn14"	Brina
"pig00"	Ricciolo
"pig01"	Grufetta
"pig02"	Broncio
"pig03"	Jambon
"pig04"	Lucy
"pig05"	Cicciolo
"pig06"	
"pig07"	
"pig08"	Wurst
"pig09"	Boris
"pig10"	Marcella
"pig11"	Sally
"pig12"	
"pig13"	Lisetta
"pig14"	Lino
"pig15"	Kotekiño
"pig16"	Cicciola
"pig17"	Maia
"pig18"	Ganon
"rbt00"	Bonny
"rbt01"	Dotty
"rbt02"	Coco
"rbt03"	Razzo
"rbt04"	Gaston
"rbt05"	Gabri
"rbt06"	Pippi
"rbt07"	Stefania
"rbt08"	Genji
"rbt09"	Rubina
"rbt10"	Doc
"rbt11"	Claude
"rbt12"	Franca
"rbt13"	Natascha
"rbt14"	Azeglio
"rbt15"	Fritz
"rbt16"	Conny
"rbt17"	Lolly
"rbt18"	Lello
"rbt19"	Martina
"rbt20"	Toby
"rhn00"	Rinaldo
"rhn01"	Roby
"rhn02"	Bruto
"rhn03"	
"rhn04"	Rino
"rhn05"	
"rhn06"	
"rhn07"	Irina
"rhn08"	Renata
"shp00"	Lanella
"shp01"	Bea
"shp02"	Tenerina
"shp03"	Merina
"shp04"	Cashmere
"shp05"	
"shp06"	
"shp07"	Belinda
"shp08"	Boccolo
"shp09"	Agnola
"shp10"	Ambra
"shp11"	Landa
"shp12"	Morena
"shp13"	Giulivo
"shp14"	Étoile
"squ00"	Rachele
"squ01"	Ghianda
"squ02"	Scriccio
"squ03"	Nocina
"squ04"	Rododea
"squ05"	Agente S
"squ06"	Carolina
"squ07"	Rossella
"squ08"	Protone
"squ09"	Mentulla
"squ10"	Sberlo
"squ11"	Rosa
"squ12"	
"squ13"	Teresa
"squ14"	Silvana
"squ15"	Granella
"squ16"	Frugolo
"squ17"	Scott
"squ18"	Cigliola
"squ19"	Cecilia
"squ20"	Vicky
"tig00"	Rolf
"tig01"	Ernesto
"tig02"	Ubaldo
"tig03"	Tigrizia
"tig04"	Bengalo
"tig05"	Lilla
"tig06"	Grattina
"wol00"	Artiglio
"wol01"	Lupen
"wol02"	Wolfgang
"wol03"	Bianca
"wol04"	Sigmund
"wol05"	Freya
"wol06"	Zanna
"wol07"	
"wol08"	Viviana
"wol09"	Lupilla
"wol10"	Ululo
"wol11"	Link l.
== 4 ==
"ant00"	Theo
"ant01"	Siggi
"ant02"	Mathilda
"ant03"	Annabell
"ant04"	
"ant05"	
"ant06"	Hilde
"ant07"	
"ant08"	Annalena
"ant09"	Olaf
"bea00"	Torsten
"bea01"	Pia
"bea02"	Kurt
"bea03"	Chang
"bea04"	
"bea05"	Nathan
"bea06"	Ernst
"bea07"	Mandy
"bea08"	Ursula
"bea09"	Gerald
"bea10"	Paula
"bea11"	Ike
"bea12"	Tabea
"bea13"	Berthold
"bea14"	Grischa
"brd00"	Jan
"brd01"	Jule
"brd02"	Armin
"brd03"	Twiggy
"brd04"	Alex
"brd05"	Iris
"brd06"	Ansgar
"brd07"	
"brd08"	Anna
"brd09"	
"brd10"	
"brd11"	Jesko
"brd12"	
"brd13"	
"brd14"	
"brd15"	Lukas
"brd16"	Pierre
"brd17"	Picko
"brd18"	Nestor
"brd19"	Medolie
"bul00"	Angus
"bul01"	Toro
"bul02"	
"bul03"	Carlos
"bul04"	
"bul05"	Marius
"bul06"	
"bul07"	Arnold
"bul08"	Klaus
"cat00"	Jens
"cat01"	Miezi
"cat02"	Sophie
"cat03"	Bianca
"cat04"	Kiki
"cat05"	Tanja
"cat06"	Julian
"cat07"	Franka
"cat08"	Tristan
"cat09"	Kabuki
"cat10"	Pit
"cat11"	Monique
"cat12"	Zita
"cat13"	Stefan
"cat14"	Karen
"cat15"	Timo
"cat16"	Mischka
"cat17"	Minka
"cat18"	Feline
"cat19"	Kleo
"cat20"	Heinz
"cat21"	Janine
"cat22"	Felyne
"cbr00"	Birte
"cbr01"	Mona
"cbr02"	Toni
"cbr03"	Bertram
"cbr04"	Bernd
"cbr05"	Berry
"cbr06"	Vladimir
"cbr07"	Michael
"cbr08"	
"cbr09"	Linda
"cbr10"	Claudia
"cbr11"	
"cbr12"	
"cbr13"	Juna
"cbr14"	Sandrine
"cbr15"	Eduard
"cbr16"	Hubert
"cbr17"	Tatjana
"cbr18"	Marty
"chn00"	Konrad
"chn01"	Benedikt
"chn02"	Waldemar
"chn03"	
"chn04"	
"chn05"	Gisela
"chn06"	
"chn07"	
"chn08"	
"chn09"	Inga
"chn10"	Mareile
"chn11"	Tschiwi
"chn12"	Elfriede
"chn13"	Hannes
"cow00"	Patricia
"cow01"	Angela
"cow02"	
"cow03"	
"cow04"	
"cow05"	
"cow06"	Nelly
"cow07"	Jolanda
"crd00"	Markus
"crd01"	Ali
"crd02"	Tilmann
"crd03"	
"crd04"	Krokki
"crd05"	
"crd06"	Steve
"crd07"	Rosa
"crd08"	Frederik
"der00"	Fatima
"der01"	Benjamin
"der02"	Walter
"der03"	Oswald
"der04"	Dina
"der05"	Eckart
"der06"	Selina
"der07"	Martin
"der08"	Vroni
"der09"	Erik
"der10"	Chelsea
"dog00"	Bienchen
"dog01"	Hasso
"dog02"	Viktor
"dog03"	Keks
"dog04"	Strolch
"dog05"	Isolde
"dog06"	Fido
"dog07"	Doris
"dog08"	Rosi
"dog09"	Agnes
"dog10"	Bea
"dog11"	
"dog12"	
"dog13"	
"dog14"	Wuffi
"dog15"	Ronaldo
"dog16"	Wastl
"dog17"	Bella
"dog18"	Thomas
"duk00"	Bill
"duk01"	Kalle
"duk02"	Daune
"duk03"	Sissi
"duk04"	Olivia
"duk05"	Erika
"duk06"	Marina
"duk07"	Quacks
"duk08"	Erwin
"duk09"	Gustav
"duk10"	Helmut
"duk11"	Volker
"duk12"	Tanya
"duk13"	Pullunda
"duk14"	
"duk15"	Gustavia
"duk16"	Monika
"duk17"	Quentin
"elp00"	Olga
"elp01"	Bastian
"elp02"	Benni
"elp03"	Frauke
"elp04"	Elisa
"elp05"	Paolo
"elp06"	Axel
"elp07"	Elfi
"elp08"	
"elp09"	Thorsten
"elp10"	Eleonore
"elp11"	Chai
"flg00"	Liliane
"flg01"	Robbi
"flg02"	Fritz
"flg03"	Tarno
"flg04"	Caspar
"flg05"	Warzi
"flg06"	Nele
"flg07"	Jörg
"flg08"	
"flg09"	Paul
"flg10"	Jacques
"flg11"	Knuth
"flg12"	Prinz
"flg13"	Jeanette
"flg14"	
"flg15"	Sani
"flg16"	Violetta
"flg17"	Carlo
"flg18"	Dörte
"flg19"	Freddy
"goa00"	Anette
"goa01"	Zenobi
"goa02"	Hennes
"goa03"	
"goa04"	Gregor
"goa05"	
"goa06"	Wilma
"goa07"	Bocki
"goa08"	Pamela
"gor00"	Alfredo
"gor01"	Manfred
"gor02"	Kong
"gor03"	
"gor04"	Ludwig
"gor05"	Boyd
"gor06"	
"gor07"	Konga
"gor08"	Kokong
"gor09"	Katrin
"gor10"	Hans
"gor11"	Rilla
"ham00"	Hamid
"ham01"	Jessi
"ham02"	Günther
"ham03"	Reinhold
"ham04"	Samira
"ham05"	Dietmar
"ham06"	Emilie
"ham07"	Heinrich
"ham08"	Holden
"hip00"	Richi
"hip01"	
"hip02"	Christin
"hip03"	Berta
"hip04"	Norbert
"hip05"	Biggi
"hip06"	
"hip07"	
"hip08"	Jürgen
"hip09"	Herbert
"hrs00"	Rudi
"hrs01"	Emma
"hrs02"	Zara
"hrs03"	Emil
"hrs04"	Jolly
"hrs05"	Walli
"hrs06"	Hermann
"hrs07"	Birgit
"hrs08"	Claire
"hrs09"	Annerose
"hrs10"	Tommi
"hrs11"	Carsten
"hrs12"	Friedel
"hrs13"	Jimmy
"hrs14"	Beate
"hrs15"	Epona
"kal00"	Ute
"kal01"	Konny
"kal02"	Kornelia
"kal03"	Silke
"kal04"	Heribert
"kal05"	Oskar
"kal06"	
"kal07"	
"kal08"	Caroline
"kal09"	Pepe
"kal10"	Sunny
"kgr00"	Kerstin
"kgr01"	Marga
"kgr02"	Carola
"kgr03"	
"kgr04"	
"kgr05"	Astrid
"kgr06"	Sylvia
"kgr07"	
"kgr08"	Sinan
"kgr09"	Robert
"kgr10"	Marlies
"lon00"	Dieter
"lon01"	Leonardo
"lon02"	Rex
"lon03"	
"lon04"	Leandro
"lon05"	
"lon06"	Leonhard
"lon07"	Leon
"lon08"	Lorenz
"mnk00"	
"mnk01"	Dorothea
"mnk02"	Simon
"mnk03"	Bonni
"mnk04"	Daniel
"mnk05"	Steffi
"mnk06"	Pippo
"mnk07"	Uta
"mnk08"	Anton
"mus00"	Dora
"mus01"	Rafael
"mus02"	Susi
"mus03"	Jenny
"mus04"	Samson
"mus05"	Manni
"mus06"	
"mus07"	
"mus08"	Renate
"mus09"	Ricky
"mus10"	Eva
"mus11"	
"mus12"	Fritzi
"mus13"	
"mus14"	Mausbert
"mus15"	Schoki
"mus16"	Gretel
"mus17"	Penelope
"mus18"	Charlie
"oct00"	Ottfried
"oct01"	Marianne
"oct02"	Ottokar
"oct03"	Klecks
"ost00"	Isabella
"ost01"	Sandra
"ost02"	Senta
"ost03"	Lutz
"ost04"	
"ost05"	Julia
"ost06"	Guido
"ost07"	Ingo
"ost08"	Christa
"ost09"	Flora
"ost10"	Philippa
"pbr00"	Apollo
"pbr01"	Adelheid
"pbr02"	Adrian
"pbr03"	Balduin
"pbr04"	
"pbr05"	Quetzal
"pbr06"	Arthur
"pbr07"	Horst
"pbr08"	Kai
"pbr09"	Lora
"pgn00"	Sonja
"pgn01"	Roland
"pgn02"	Cube
"pgn03"	Hauke
"pgn04"	Frieda
"pgn05"	Judith
"pgn06"	Puck
"pgn07"	
"pgn08"	
"pgn09"	Staksi
"pgn10"	Max
"pgn11"	Pingi
"pgn12"	Matze
"pgn13"	Susanne
"pgn14"	Svenja
"pig00"	Oink
"pig01"	Luzie
"pig02"	Ede
"pig03"	Hugo
"pig04"	Larissa
"pig05"	Schwarte
"pig06"	
"pig07"	
"pig08"	Rolo
"pig09"	Bolle
"pig10"	Magda
"pig11"	Quiekie
"pig12"	
"pig13"	Oinka
"pig14"	Clemens
"pig15"	Kevin
"pig16"	Brigitte
"pig17"	Nora
"pig18"	Ganon
"rbt00"	Mimmi
"rbt01"	Doro
"rbt02"	Koko
"rbt03"	Philip
"rbt04"	Gaston
"rbt05"	Gabi
"rbt06"	Lotta
"rbt07"	Michelle
"rbt08"	Aki
"rbt09"	Rubina
"rbt10"	Gustl
"rbt11"	Claude
"rbt12"	Manu
"rbt13"	Anne
"rbt14"	Poldi
"rbt15"	Nico
"rbt16"	Hilda
"rbt17"	Henrike
"rbt18"	Karl
"rbt19"	Mira
"rbt20"	Toby
"rhn00"	Frank
"rhn01"	Regina
"rhn02"	Atze
"rhn03"	
"rhn04"	Rüdiger
"rhn05"	
"rhn06"	
"rhn07"	Maria
"rhn08"	Ilona
"shp00"	Dolly
"shp01"	Babsi
"shp02"	Edith
"shp03"	Stella
"shp04"	Lana
"shp05"	
"shp06"	
"shp07"	Natascha
"shp08"	Locke
"shp09"	Wolli
"shp10"	Tippsi
"shp11"	Martina
"shp12"	Marion
"shp13"	Pietro
"shp14"	Etoile
"squ00"	Paulina
"squ01"	Klara
"squ02"	Felix
"squ03"	Noisette
"squ04"	Knuspi
"squ05"	Karin
"squ06"	Ricarda
"squ07"	Hanne
"squ08"	Rudolf
"squ09"	Marika
"squ10"	Ronny
"squ11"	Hörnchen
"squ12"	
"squ13"	Natalja
"squ14"	Maren
"squ15"	Trita
"squ16"	Steffen
"squ17"	Huschke
"squ18"	Nadine
"squ19"	A-Chan
"squ20"	L-Pyon
"tig00"	Boris
"tig01"	Gisbert
"tig02"	Arne
"tig03"	Tamara
"tig04"	Tim
"tig05"	Lilly
"tig06"	Bettina
"wol00"	Sascha
"wol01"	Lupo
"wol02"	Weber
"wol03"	Lupa
"wol04"	Sigmund
"wol05"	Freya
"wol06"	Grimm
"wol07"	
"wol08"	Viviane
"wol09"	Sabine
"wol10"	Wolfgang
"wol11"	W.-Link
