== 0 ==
"001"	{Blue}If might is supposed to make right,	then what makes left, maaan?{Color Reset}
"003"	{Blue}Todos guardamos algún secreto.	Si tú no tienes nada que ocultar,	¡llevas una vida aburrida, primate!{Color Reset}
"004"	{Blue}Si cuando te plantan, te rompen el	corazón, ¿significa eso que todas	las plantas están despechadas?{Color Reset}
"005"	{Blue}¿No te da miedo que puedas	embadurnarte de comida si bailas	salsa o merengue, primate?{Color Reset}
"006"	{Blue}Si la esperanza es lo último que se	pierde, ¿las chicas con ese nombre	forman las parejas más estables?{Color Reset}
"007"	{Blue}Si nuestra divisa son las bayas,	¿significa que perdemos nuestras	riquezas cuando se ponen pochas?{Color Reset}
"008"	{Blue}Si lo dejas todo para mañana,	¿significa que ese tal "mañana"	se quedará con todo, primate?{Color Reset}
"009"	{Blue}Si hay que tener a los amigos cerca	y a los enemigos aún más cerca,	¡estaremos como sardinas en lata!{Color Reset}
"010"	{Blue}El amor es como el pan: recién	hecho es una delicia, pero cuando	se termina solo quedan las migajas.{Color Reset}
"011"	{Blue}La tortilla francesa no se inventó	en Francia... ¡El nombre es solo	para despistar!{Color Reset}
"012"	{Blue}Si las tostadas caen del lado de la	mantequilla y los gatos de pie, ¿qué	pasa si atas una tostada a un gato?{Color Reset}
"013"	{Blue}Si la vida se te hace cuesta arriba,	coge el ascensor, primate.{Color Reset}
"014"	{Blue}Si en una tienda solo aceptan pago	en metálico, ¿qué hacemos con las	bayas? ¿Nos las comemos, primate?{Color Reset}
"015"	{Blue}Si al final del libro resulta que todo	era un sueño, ¿qué pasa cuando lees	novelas de terror? ¿Son pesadillas?{Color Reset}
"016"	{Blue}Si los animales se parecen a sus	dueños, ¿qué ocurre con quien tiene	una serpiente? ¿Es una víbora?{Color Reset}
"017"	{Blue}Para vender algo como churros	basta con hacerlo atractivo para	el consumidor.	Al final, la calidad es secundaria.{Color Reset}
"018"	{Blue}¿Por qué se dice "recorrer los siete	mares" si algunos están aislados?	¡Vaya lío, grumete! Eh... ¡primate!{Color Reset}
"019"	{Blue}¿Por qué dibujamos siempre las	estrellas con puntas si en realidad	son esferas ígneas, primate?{Color Reset}
"020"	{Blue}Cuando estás totalmente mojado	te dicen que estás empapado, pero	¿y si te dicen que estás empanado?{Color Reset}
"021"	{Blue}No se puede predecir cómo acabará	un partido de fútbol, pero sí cómo	empieza: ¡cero a cero, primate!{Color Reset}
"022"	{Blue}Un verdadero héroe no es aquel que	busca el peligro, sino el que sabe	evitarlo.{Color Reset}
"023"	{Blue}El otro día me dijeron: "Aquí hay	gato encerrado", ¡pero por mucho	que busqué no encontré ninguno!{Color Reset}
"024"	{Blue}Si dos son compañía y tres son	multitud, ¿por qué se inventó el	papel del sujetavelas, primate?{Color Reset}
"025"	{Blue}Si nunca pruebas nada nuevo pero	haces borrón y cuenta nueva con	tu vida, ¿eso cuenta como nuevo?{Color Reset}
"026"	{Blue}Primate, la gente que alardea de	no tener preocupaciones en la vida	tan solo se esfuerza por ignorarlas.{Color Reset}
"027"	{Blue}Los niños deben aprender a romper	el hielo para hacer amiguitos, ¡pero	que no se lo tomen al pie de la letra!{Color Reset}
"028"	{Blue}Me han dicho que tengo cara de no	haber roto nunca un plato. Lo cierto	es que ayer me cargué la vajilla...{Color Reset}
"029"	{Blue}Si está de moda comer helado en	invierno, ¿por qué no puede estarlo	el chocolate con churros en verano?{Color Reset}
"030"	{Blue}¿Sabes cómo llaman en Rusia a	las montañas rusas? ¡Montañas	americanas! Qué curioso, ¿eh?{Color Reset}
"031"	{Blue}Un consejo de nutria: no trates	de llevar siempre la voz cantante;	también hay que saber escuchar.{Color Reset}
"032"	{Blue}¿Qué tienen los diamantes que	vuelven loca a la gente? ¡Ni siquiera	son comestibles, primate!{Color Reset}
"033"	{Blue}¿Sabes, primate? El otro día pillé a	alguien con las manos en la masa.	Era el panadero, que hacía pan.{Color Reset}
"034"	{Blue}Un primo mío está empeñado en	popularizar el globo como medio de	transporte acuático. Lo lleva claro.{Color Reset}
"035"	{Blue}No hay que ver el vaso medio vacío,	primate, sino medio lleno. ¡Tenemos	que ser positivos!{Color Reset}
"036"	{Blue}¿Por qué todos los sitios	interesantes tienen que	estar llenos de turistas?{Color Reset}
"037"	{Blue}¿Sabías que los tiburones son	inmunes a las zalamerías? ¡Lo único	que les interesa es llenarse la panza!{Color Reset}
"038"	{Blue}Si quien tiene un amigo, tiene un	tesoro, entonces los cazatesoros	se dedican a cazar amigos, ¿no?{Color Reset}
"039"	{Blue}Con tantos animales que hay en el	pueblo, ¿cómo es posible que todos	hablemos el mismo idioma, primate?{Color Reset}
"040"	{Blue}Si cuando dormimos soñamos,	¿qué ocurre cuando nos quedamos	dormidos dentro de un sueño?{Color Reset}
"041"	{Blue}Seguir el camino difícil y llegar	hasta el final no solo es meritorio;	también te llena de satisfacción.{Color Reset}
"042"	{Blue}¿Por qué cuando buscamos algo	siempre lo encontramos en el	último lugar que miramos?	¡Ya podía estar en el primero,	primate!{Color Reset}
"043"	{Blue}Si los colores son longitudes de	onda reflejadas de los objetos{Blue},{Blue}	¿de qué color es todo en realidad?{Color Reset}
"044"	{Blue}Algunas veces me pregunto si el	cielo no será en realidad el mar y	nosotros estamos cabeza abajo.{Color Reset}
"045"	{Blue}Muchas especies arácnidas tienen	ocho ojos. ¿Te imaginas cómo	serán las gafas que usan, primate?{Color Reset}
"046"	{Blue}¿Que por qué llevo gorro si cuando	nado siempre se me empapa?	¡Cuestión de estética, primate!{Color Reset}
"047"	{Blue}Hay gente que solo te pregunta	cómo estás para que les des pie	a que te cuenten ellos su vida.{Color Reset}
"048"	{Blue}Si los lagos son pequeños mares y	los mares, pequeños océanos, ¿qué	hay más grande que un océano?{Color Reset}
"049"	{Blue}¿Los barcos flotan en el agua o es	el agua la que los repele porque los	odia? ¿Tú qué opinas, primate?{Color Reset}
"050"	{Blue}La vida es como una naranja.	¿Será porque es rugosa por fuera o	porque es dulce y tiene mucho jugo?	En cualquier caso, las naranjas son	ricas en vitamina C. ¡Un antioxidante	natural!{Color Reset}
"051"	{Blue}A menudo nos confunden con	nuestros primos los hurones. ¡Pero	las nutrias somos más guapas!{Color Reset}
"052"	{Blue}Existen los peces gato, los peces	lobo, los peces león... ¿Por qué no	hay peces nutria, entonces?{Color Reset}
"053"	{Blue}La galaxia en la que se encuentra	la Tierra se llama "Vía Láctea".	La de calcio que debe de tener...{Color Reset}
"054"	{Blue}¿Conoces a alguien que haya estado	mirando las musarañas y que	realmente haya visto alguna?{Color Reset}
"055"	{Blue}Si los ninjas son tan buenos	ocultándose, ¿por qué conocemos	su vestimenta al dedillo, primate?{Color Reset}
"056"	{Blue}Una amiga tuvo una cita, pero me	dijo que su príncipe le salió rana.	¡Normal, era pariente de Comando!{Color Reset}
"057"	{Blue}¿Sabes? El otro día me cantaron	las cuarenta. Ay, soy pésimo	jugando al tute, primate...{Color Reset}
"058"	{Blue}Si todos los platos que preparas	acaban hechos carbón, ¿no será	que tu vocación es ser carbonero?{Color Reset}
"059"	{Blue}Vista desde aquí, la luna parece	{Blue}un {Blue}queso.{Wait for input}Ahora que caigo, ningún queso	en buen estado es de color gris...	¡Qué asco!{Color Reset}
"060"	{Blue}Un vecino mío está criando una	pequeña langosta para que se ponga	bien hermosa y darse así un festín.	Cuando se entere de que en realidad	se trata de un cangrejo de río...{Color Reset}
"061"	{Blue}Me han soplado que mi vecina bebe	los vientos por mí. ¿Será que	compra aire embotellado?{Color Reset}
"062"	{Blue}El otro día, durante una cena de	amigos, me dijeron que me estaba	poniendo las botas.	Pero fíjate bien, primate:	¡las nutrias vamos descalzas!{Color Reset}
"063"	{Blue}¿Has probado a hablar por el móvil	debajo del agua? ¡Misión imposible,	primate!{Color Reset}
"064"	{Blue}Al ver mi colgante, me {Blue}confunden{Blue}	con el protagonista de la {Blue}película{Blue}	esa,{Color Reset}{Blue} "El no sé qué de las vieiras".{Color Reset}
"065"	{Blue}¿Por qué coger un taxi para llegar a	la meta de una carrera va contra el	reglamento?	¡Lo importante es llegar en primer	lugar, ¿no?!{Color Reset}
"066"	{Blue}La otra noche mi vecino no paró	de darme la lata. Suerte que era de	berberechos, con lo que me gustan...{Color Reset}
"067"	{Blue}Fíate siempre de lo que te diga	un calamar: ¡lo sabe todo de	buena tinta!{Color Reset}
"068"	{Blue}Es imposible tener más vidas que	un gato. Si me salen las cuentas,	¡los gatos tienen siete!{Color Reset}
"069"	{Blue}¿Has probado una fruta llamada	"granada"? Está riquísima, y si se	te cae al suelo, ¡no explota!{Color Reset}
"070"	{Blue}¿Por qué los perezosos tienen tan	mala fama? ¡Los osos se pasan todo	el invierno durmiendo a pata suelta!{Color Reset}
"071"	{Blue}Si cuando te dan calabazas	te parten el corazón, ¿cómo	lo reparas? ¿Con pegamento?{Color Reset}
"072"	{Blue}Yo soy de los que nunca dan su	brazo a torcer. ¿Te imaginas qué	dolor, primate?{Color Reset}
"073"	{Blue}Un verdadero héroe no espera	recompensa alguna, sino que se	limita a hacer lo que debe.{Color Reset}
"074"	{Blue}El otro día hice un experimento	culinario para saber qué picaba {Blue}más:{Blue}	la pimienta o el pimiento de piquillo.{Color Reset}
"075"	{Blue}Ándate con mucho ojo por si alguien	trata de dártela con queso. Aunque	si es de oveja, haz una excepción.{Color Reset}
"076"	{Blue}El amor es tan complicado que ni	los propios expertos en el tema	consiguen ponerse de acuerdo.	Buen título para una telenovela,	¿no crees, primate?{Color Reset}
"077"	{Blue}¿Te imaginas que inventaran un	ascensor que se desplazara de lado?	¡Qué práctico sería bajo el agua!{Color Reset}
"078"	{Blue}A mi primo lo llaman rata de	biblioteca porque se pasa el día	leyendo libros allí.	¿La gente está ciega o qué?	¡Salta a la vista que es una nutria!{Color Reset}
"079"	{Blue}Si pudieras tener alas, ¿qué tipo	elegirías? ¿Como las de las aves	o como las de los murciélagos?{Color Reset}
"080"	{Blue}¿Que las algas son depredadoras?	¡Eso no hay quien se lo crea,	primate!{Color Reset}
"081"	{Blue}He vuelto de vacaciones más	cansado de lo que me fui.{Wait for input}¡Necesito unas vacaciones para	descansar de las vacaciones!{Color Reset}
"082"	{Blue}Zapatero a tus... ¿zapatillas de	deporte? Um, creo que no era así...{Color Reset}
"083"	{Blue}Una vez fui de expedición al Polo	Norte, pero no veas qué chasco. ¡No	había polos ni de limón ni de nada!{Color Reset}
"084"	{Blue}El bostezo es una enfermedad muy	contagiosa: bosteza en público y	los demás no tardarán en seguirte.{Color Reset}
"085"	{Blue}La mejor manera de deshacerte de	algo no es regalarlo; ¡ponle precio	y te lo quitarán de las manos!{Color Reset}
"086"	{Blue}Si te cruzas con un gato negro	mientras pasas por debajo de una	escalera, ¿se anula la mala suerte?{Color Reset}
"087"	{Blue}Sigo sin saber a ciencia cierta qué	son las aceitunas. ¿Verduras, frutas	o quizá un mero condimento?{Color Reset}
"088"	{Blue}Los océanos ocupan el 71 % de la	superficie del planeta. ¡Suerte que	las nutrias nadamos de fábula!{Color Reset}
"089"	{Blue}Si juegas contra alguien y pierdes,	no tires la toalla: ¡pide la revancha!{Color Reset}
"090"	{Blue}Yo no discrimino entre los distintos	tipos de calamares. ¡Todos están	riquísimos en su tinta!{Color Reset}
"091"	{Blue}¿Sabías que, al igual que otros	tantos pedruscos, los diamantes	están hechos de carbono?	Aun así, ¡no me importaría echarle	el guante a un puñado, primate!{Color Reset}
"092"	{Blue}Cuando nos hacemos adultos	estamos obligados a madurar	y a ser responsables.	Hasta entonces, ¡aprovechemos	para hartarnos a jugar, primate!{Color Reset}
"093"	{Blue}Cuando eché la mirada al cielo,	vi una nube con forma de ovni.{Wait for input}¿O realmente se trataba de una	nave espacial camuflada? ¡Tiemblo	solo de pensarlo, primate!{Color Reset}
"094"	{Blue}¿Cómo se puede jugar al balón	prisionero si el balón está...	pues eso, prisionero?{Color Reset}
"095"	{Blue}¿De dónde vendrá la expresión	"lágrimas de cocodrilo"? Yo nunca	he visto llorar a uno.	¡Son tipos duros!{Color Reset}
"096"	{Blue}Al parecer han enviado una nutria a	la luna. ¡Estos primates! Aunque se	rumorea que todo es un montaje.{Color Reset}
"097"	{Blue}Si algo no da ni frío ni calor, ¿está	templado? ¡Yo soy muy sensible a	los cambios de temperatura!{Color Reset}
"098"	{Blue}He oído que han diseñado un coche	que usa agua como combustible.	¡Pues en el río tenemos de sobra!{Color Reset}
"099"	{Blue}Cuando hay algo que desconozco,	consulto la Nutriapedia. ¡Tiene	respuestas para todo!{Color Reset}
"100"	{Blue}Las mentiras son como los globos:	se van haciendo cada vez más	grandes hasta que al final explotan.{Color Reset}
"101"	{Blue}Un día mojé palitos de cangrejo en	chocolate caliente como si fueran	churros. Mala idea, primate.{Color Reset}
"102"	{Blue}No hay quien os entienda, primates:	os quejáis cuando llueve, pero os	quejáis aún más cuando hay sequía.{Color Reset}
"103"	{Blue}Los primates y las nutrias tenemos	algo en común: si a ambos nos dan	un buen pescado, ¡nos lo zampamos!{Color Reset}
"104"	{Blue}¿No se podrían considerar las	diapositivas como una película	emitida fotograma a fotograma?{Color Reset}
"105"	{Blue}Una vez me tocó sentarme al lado	de un hipopótamo en un avión.	¡Acabé hecho un cromo de nutria!{Color Reset}
"106"	{Blue}Un día me comí unas guindillas	pensando que serían dulces como	las guindas. ¡Craso error, primate!{Color Reset}
"107"	{Blue}¿Cómo podemos estar seguros de	que una rana es una rana y no un	sapo?{Wait for input}¡Ambas especies son demasiado	parecidas, primate!{Color Reset}
"108"	{Blue}Una manera muy saludable de	canalizar la rabia es hacer deporte.	Te quedas como nuevo.{Color Reset}
"109"	{Blue}¿Por qué lo llaman "acampar"	cuando quieren decir "sobrevive	como puedas en plena naturaleza"?{Color Reset}
"110"	{Blue}He oído que el centro de la Tierra	está tan caliente que podría fundir	cualquier cosa.	Hay algo que no me cuadra,	primate. ¿Entonces por qué no	se ha fundido ya el planeta?{Color Reset}
"111"	{Blue}Dicen que llueve porque la gente	que vive entre las nubes abre sus	aspersores. ¡Vaya bulo, primate!{Color Reset}
"112"	{Blue}Perder al tute porque tu rival tenía	escondidos ases bajo la manga no	se le llama destino, sino trampas.{Color Reset}
"113"	{Blue}Una noche de feria probé el algodón	de azúcar. Dulce, esponjoso...	¡Estaba delicioso!	Pero cuando intenté hacer algodón	de azúcar casero echándole azúcar	al algodón, ¡estaba asqueroso!{Color Reset}
"114"	{Blue}¿Alguna vez has tocado el tambor	bajo el agua, primate? ¡Hace falta	poseer una fuerza descomunal!{Color Reset}
"115"	{Blue}Encontrar una aguja en un pajar es	casi imposible, pero encontrar una	paja en un costurero está chupado.{Color Reset}
"116"	{Blue}Las nutrias no le vemos la gracia al	submarinismo. Normal, nos pasamos	media vida dentro del agua...	Supongo que es un deporte tan	exótico para los primates como	para nosotras lo es la escalada.{Color Reset}
"117"	{Blue}Si te adentras por una senda	desconocida, ¿no deja {Blue}de serlo{Blue}	automáticamente, primate?{Color Reset}
"118"	{Blue}Una ventaja de tener amigos es	que os podéis prestar montones	de cosas con total confianza.	Eso no quita que te apuntes en una	lista todo lo que vayas dejando por	si tienes que reclamarlo, primate.{Color Reset}
"119"	{Blue}Cuando sea tu cumpleaños, ¡sopla	las velas de la tarta antes de que	se derritan y la echen a perder!{Color Reset}
"120"	{Blue}Me he descargado una aplicación	para el móvil que te enseña a pescar	truchas. ¡Qué gozada, primate!{Color Reset}
"121"	{Blue}No le des importancia a cosas que	no la tienen, primate. ¡Los granitos	de arena nunca serán montañas!	Salvo para los seres microscópicos,	claro. ¿Pero conoces alguno? Yo	tampoco.{Color Reset}
"122"	{Blue}Dejar algo de propina es un pequeño	detalle que los camareros agradecen	enormemente, primate.{Color Reset}
"123"	{Blue}¿A ti no te dan mal rollo las nubes,	primate? ¡A saber lo que estarán	tramando ahí arriba las muy pillas!{Color Reset}
"124"	{Blue}Si ruedas un documental acerca	de otro documental, ¿cómo lo	documentas? ¡Qué lío, primate!{Color Reset}
"125"	{Blue}Darle café a alguien que padece	insomnio es como darle azúcar a	gente inquieta, primate: mala idea.{Color Reset}
"126"	{Blue}Ahí donde los ves, los hipopótamos	son mucho más fieros de lo que	aparentan, primate. ¡No te confíes!{Color Reset}
"127"	{Blue}El otro día, las hermanas Manitas	me dijeron que los tirantes ya no	están de moda. ¡Qué bajón, primate!{Color Reset}
"128"	{Blue}Ayer comí unas onzas de chocolate	relleno de chili. ¡No veas cómo	picaba, primate!{Color Reset}
"129"	{Blue}Los artistas que tuvieron un solo	éxito pudieron gozar de su {Blue}momento{Blue}	de gloria. ¡Menos da una piedra!{Color Reset}
"130"	{Blue}¿Alguna vez te has ido derech{o/a} a la	cama después de una siesta? ¡Hay	que dormir lo que pida el cuerpo!{Color Reset}
"131"	{Blue}¿Alguna vez has mirado un bicho	a través de un microscopio?	¡Qué repelús, primate!{Color Reset}
"132"	{Blue}Todos somos únicos cuales copos	de nieve. ¡Menos mal! ¡No me	imagino con cara de primate!{Color Reset}
"133"	{Blue}¡Encontrar un oasis en medio	del desierto es tan difícil como	encontrar una aguja en un pajar!{Color Reset}
"134"	{Blue}Si encuentras algún cartel que	ponga "No tocar", ¡deja las manos	quietas, primate!{Color Reset}
"135"	{Blue}Águila, cisne, león... ¿Por qué no	hay una constelación con forma de	nutria? ¡Es discriminación, primate!{Color Reset}
"136"	{Blue}Creía que bajo el agua estaría a	salvo de las arañas. ¡Craso error!	¡Hay arañas de agua gigantes!{Color Reset}
"137"	{Blue}¿Por qué dicen que el león es el rey	de la selva si suele habitar en las	sabanas? ¡Vaya pifia, primate!{Color Reset}
"138"	{Blue}Dicen que lo que importa de un	regalo no es el tamaño, sino el	detalle. ¡Pamplinas!	Las vieiras, cuanto más grandes,	mejor. ¡Toma nota, primate!{Color Reset}
"139"	{Blue}El límite de velocidad en carretera	está impuesto por ley. ¡Suerte que	no se aplica al tráfico acuático!{Color Reset}
"140"	{Blue}La venganza es un plato que se sirve	frío. ¿Será como la ensaladilla rusa,	primate?{Color Reset}
"141"	{Blue}No te comas nada que encuentres	en el suelo. ¡No me hagas explicarte	por qué, primate!{Color Reset}
"142"	{Blue}A quienes llevan gafas los llaman	"cuatro ojos", ¡pero a los que usan	bastón no los llaman "tres piernas"!{Color Reset}
"143"	{Blue}¿Qué aspecto tendrá la luz en medio	de la oscuridad? ¡Supera los límites	de mi imaginación, primate!{Color Reset}
"144"	{Blue}Tras un lío amoroso, l{Color Reset}{Blue}a gente te	dice que "hay más peces en el mar".	¿Y qué pasa si coges un pulpo?{Color Reset}
"145"	{Blue}El mejor modo de mantener secreta	una identidad secreta es decirla a	los cuatro vientos. ¡Nadie te creerá!{Color Reset}
"146"	{Blue}Los confines del mundo existen,	pero están todos conectados entre	sí. Por eso no los ves, primate.{Color Reset}
"147"	{Blue}¿De qué sirve dejarte una nota para	no olvidar algo si luego te olvidas la	propia nota? ¡Qué cabeza, primate!{Color Reset}
"148"	{Blue}Hay que disculparse cuando se hace	algo mal, primate. ¡El exceso de	orgullo no aporta nada bueno!{Color Reset}
"149"	{Blue}He oído que el gobierno quiere	poblar la luna. Pues allí no hay ríos	ni vieiras. ¡Que no cuente conmigo!{Color Reset}
"150"	{Blue}¿No volarían mejor los aviones	si tuvieran plumas? ¡Pienso	racionalmente, primate!{Color Reset}
"151"	{Blue}Deja la ventana abierta para que	entre la esperanza. ¡Pero cuidado	con los cacos, primate!{Color Reset}
"152"	{Blue}¿Alguna vez has nadado entre	delfines? Podrían ganar el oro en	natación sincronizada. ¡Palabra!{Color Reset}
"153"	{Blue}Dicen que nadar es como volar en	el agua, pero las aves solo {Blue}se mojan{Blue}	cuando llueve. ¡No es justo!{Color Reset}
"154"	{Blue}Si tienes diez manzanas y me llevo	tres, ¡seguro que no te haría ni pizca	de gracia, primate!{Color Reset}
"155"	{Blue}Tu verdadero hogar no lo limitan	cuatro paredes. ¡Está donde te diga	siempre tu corazón de primate!{Color Reset}
"156"	{Blue}Hay especies de nutria en peligro de	extinción. ¿Cómo hemos llegado a	esos dramáticos extremos, primate?{Color Reset}
"157"	{Blue}El secreto para que no se te	meriende un oso está en mantener	la sangre fría, primate.	Los peces intentan esa misma	estrategia, ¡pero conmigo no les	funciona!{Color Reset}
"158"	{Blue}Si me mudo a otro pueblo y viajo	en tren, ¿también me harán alcalde,	como a {uno/una} que yo me sé?{Color Reset}
"159"	{Blue}Ayer quise ponerle una montura a un	caballito de mar, pero se asustó y	salió por patas. ¡Y eso que no tiene!{Color Reset}
"160"	{Blue}Me voy a pasar por Chez Marilín	para teñirme el pelaje de azul.{Wait for input}¿Te imaginas? Seré como una	nutria ninja: ¡invisible bajo el agua!{Color Reset}
"161"	{Blue}Si guardas tus ahorros debajo del	colchón, será que no te fías de los	bancos. ¡Lo vería lógico, primate!{Color Reset}
"162"	{Blue}¿Te imaginas que te encuentras con	tu "yo" futuro y piensas que es {un/una}	cretin{o/a}? ¡Qué decepción, primate!{Color Reset}
"163"	{Blue}Me llevo un paraguas cada vez que	hay una tormenta de ideas, ¡pero no	sirve para nada, primate!{Color Reset}
"164"	{Blue}Las nutrias preferimos los parques	acuáticos a los de atracciones.	¡Cuestión de gustos, primate!{Color Reset}
"165"	{Blue}De pequeño soñaba con ser	astronauta. ¡Habría sido la primera	nutria en viajar al espacio!{Color Reset}
"166"	{Blue}El otro día me crucé con un elefante	marino resfriado. ¡Me mandó por los	aires de un estornudo!{Color Reset}
"167"	{Blue}¿Alguna vez has soñado que salías a	la calle en ropa interior? Imagínate	que te ocurre de verdad.	¡Menuda pesadilla, primate!{Color Reset}
"168"	{Blue}Ni el mago más hábil sería capaz de	freír un huevo bajo el agua. ¡Yo lo	he intentado mil veces en vano!{Color Reset}
"169"	{Blue}¿Te imaginas que tuviéramos ojos	en la espalda? Sería la mar de	práctico.	¡Especialmente bajo el agua,	con tanto depredador suelto!{Color Reset}
"170"	{Blue}Un primate me dijo que tengo las	manos de mantequilla. ¡Me las lamí	para estar seguro de que no era así!{Color Reset}
"171"	{Blue}Muchos primates tienen aves como	mascota. Las alimentan, sí, ¡pero	las tienen encerradas en jaulas!	Cadena perpetua sin comerlo	ni beberlo...{Color Reset}
"172"	{Blue}Hay gente a la que le encanta ser el	centro de atención. ¿Eh? ¿Por qué	me miras así, primate?{Color Reset}
"173"	{Blue}¿Cómo consiguen mantener el	equilibrio los bailarines de ballet?	¡Parece una peli de ciencia ficción!{Color Reset}
"174"	{Blue}Si el amor es como un campo de	batalla, ¿adónde voy yo, que ni	siquiera he hecho el servicio militar?{Color Reset}
"175"	{Blue}Te pongas como te pongas, un vaso	siempre está lleno, porque la parte	que no ocupa el líquido... ¡es aire!{Color Reset}
"176"	{Blue}Las estrellas de mar no brillan ni	aunque las enchufes a una toma de	corriente. ¡Qué engaño, primate!{Color Reset}
"177"	{Blue}¿Cómo voy a encontrar la horma	de mi zapato si siempre ando	descalzo? ¡No tiene ningún sentido!{Color Reset}
"178"	{Blue}Los hierbajos son plantas que	nadie quiere por su aspecto. ¿Dónde	quedó el rollo de la belleza interior?{Color Reset}
"179"	{Blue}El otro día fui al circo y me	propusieron participar en un	número llamado "la nutria bala".	Por supuesto, me negué	rotundamente. ¡Estos primates	están locos!{Color Reset}
"180"	{Blue}¿Por qué los malvaviscos se llaman	así? No son de color malva ni	tampoco viscosos. ¡No lo entiendo!{Color Reset}
"181"	{Blue}No me extraña que Blanca lo pase	en grande el Día de las Bromas:	¡sale impune de sus gamberradas!{Color Reset}
"182"	{Blue}El otro día me probé unos leotardos	por primera vez. ¡Dan un calorcito	que no veas, primate!{Color Reset}
"183"	{Blue}Alguien dijo que la honestidad es la	mejor política. Como {alcalde/alcaldesa} que	eres, aplícate el cuento, primate.{Color Reset}
"184"	{Blue}Hay quien cree que a los conejos les	chiflan las zanahorias. Se equivocan	de animal; ¡es a las liebres!	¿Cómo? ¿Que ambas especies se	pirran por las zanahorias? ¡No me	contradigas, primate!{Color Reset}
"185"	{Blue}Eso de que los cerdos tienen la casa	hecha una pocilga son auténticos	falsos rumores.	El otro día Peggy me invitó a tomar	un té con vieiras, y tenía la casa	como los chorros del oro.{Color Reset}
"186"	{Blue}No hay mejor lugar para vivir que	bajo el agua, primate. Una pena que	haya tanta gente que no sepa nadar.	¡Lo que se pierden!{Color Reset}
"187"	{Blue}¿Alguna vez has intentado encender	un fuego en el círculo polar a la	intemperie? ¡Misión imposible!{Color Reset}
"188"	{Blue}A veces escucho música hacia atrás	para ver si encuentro mensajes	ocultos. De momento, nada de nada.{Color Reset}
"189"	{Blue}¿Alguna vez has pilotado un	submarino? Yo solo en simuladores,	¡pero no pierdo la esperanza!{Color Reset}
"190"	{Blue}Con la de idiomas distintos que hay	en el mundo, si un día nos visitan los	extraterrestres lo van a pasar fatal.{Color Reset}
"191"	{Blue}Siempre he querido ir de vacaciones	a un zoológico, ¡pero pasar la noche	allí es un AUTÉNTICO ROBO!{Color Reset}
"192"	{Blue}Me encanta jugar al fútbol, primate,	pero ni te imaginas lo difícil que es	controlar el balón bajo el agua.{Color Reset}
"193"	{Blue}Las guerras de globos de agua son	de lo más divertidas. En la última	acabé calado hasta los huesos.	Se van a enterar esos primates...	{Color Reset}{Blue}¡La próxima vez me pido usar yo	la manguera!{Color Reset}
"194"	{Blue}Dicen que la última galleta del plato	es la de la vergüenza. ¡Que alguien {Blue}la{Blue}	coja antes de que se ponga rancia!{Color Reset}
"195"	{Blue}Los científicos han anunciado a	bombo y platillo que han conseguido	comunicarse con especies animales.	No lo entiendo, primate. ¿Acaso tú	necesitas un intérprete para hablar	con los habitantes del pueblo?{Color Reset}
"196"	{Blue}Desde que sé que los lobos salen a	cazar cuando dormimos, ¡no puedo	pegar ojo en toda la noche!{Color Reset}
"197"	{Blue}Como se te ocurra tirar basura al	mar, pienso hacer lo mismo en tu	casa, primate. ¡Que lo sepas!{Color Reset}
"198"	{Blue}Las piscinas son una versión cutre	del océano. ¿Por qué comer chóped	cuando puedes comer paella?{Color Reset}
"199"	{Blue}Una vez encontré un cofre del	tesoro. ¿Sabes lo que había dentro?	¡UN TESORO, PRIMATE!{Color Reset}
"200"	{Blue}El otro día vi a un astronauta. ¡Creía	que se trataba de un primate loco	con una pecera puesta en la cabeza!{Color Reset}
"201"	{Blue}De pequeño quise aprender a tocar	la flauta, pero no había manera de	soplar bajo el mar sin tragar agua...{Color Reset}
"202"	{Blue}El otro día fui a Hermanas Manitas.	Pedí un par de pantalones y me	sacaron solo uno.	¿Pero qué invento es este, primate?	¿Acaso me fallan las cuentas?{Color Reset}
"203"	{Blue}La comida congelada es muy	práctica, primate. ¿En qué aguas	pescarán esos peces congelados?{Color Reset}
"204"	{Blue}El gobierno inventó las matemáticas	para que siempre tuviéramos una	asignatura frustrante.	¡No paro de coleccionar roscos,	primate!{Color Reset}
"205"	{Blue}Me he comprado una bolsa de	patatas con sabor a jamón.{Wait for input}¡No sabía que se podían cultivar	patatas de distintos sabores! ¿Las	habrá también con sabor a vieira?{Color Reset}
"206"	{Blue}Algunos periodistas informan sobre	cosas que todos sabemos. ¿Qué hay	de noticia en eso?{Color Reset}
"207"	{Blue}La velocidad de la luz no es para	tanto, primate. ¡Prueba a viajar a	la velocidad del TIEMPO y verás!{Color Reset}
"208"	{Blue}El primer paso para actuar con	honestidad reside en aprender a	no mentirse a uno mismo, primate.{Color Reset}
"209"	{Blue}¿Una {camisa/blusa} blanca para comer	espaguetis con tomate? ¡La tragedia	se masca en el ambiente, primate!{Color Reset}
"210"	{Blue}¿Por qué los enseres tienen forma	de hoja hasta que los dejas en casa?	¡Desafía las leyes de la realidad!{Color Reset}
"211"	{Blue}Dicen que el cielo en realidad no es	azul, que es imaginación nuestra.{Wait for input}Y voy yo y me lo creo, primate.	¡A esta nutria no se la dan con	queso!{Color Reset}
